"frame_number"	"time_in_deciseconds"	"X"	"Y"	"Z"	"ID"
"307"	11513	1151.2	4214.823	4142.922	-78.581	685
"308"	11531	1153	4182.891	4190.809	-82.286	686
"309"	11524	1152.3	2380.296	7841.326	-172.796	687
"310"	11533	1153.2	2357.377	7859.737	-173.347	688
"311"	11543	1154.2	4171.437	4228.454	-84.234	689
"312"	11551	1155	4163.243	4246.46	-83.295	690
"313"	11564	1156.3	2292.939	7918.285	-174.423	691
"314"	11569	1156.8	4140.202	4295.401	-84.44	692
"315"	11586	1158.5	2238.078	7956.21	-176.284	693
"316"	11604	1160.3	4082.752	4387.328	-84.78	694
"317"	11699	1169.8	-1679.63	1914.316	-33.783	695
"318"	11613	1161.2	2173.667	8007.28	-176.876	696
"319"	11647	1164.6	4045.644	4477.995	-87.953	697
"320"	11652	1165.1	2090.974	8052.636	-177.07	698
"321"	11653	1165.2	4035.196	4498.025	-82.994	699
"322"	11658	1165.7	4025.896	4501.519	-89.035	700
"323"	11665	1166.4	4011.546	4523.767	-83.29	701
"324"	11672	1167.1	2066.169	8093.294	-177.802	702
"325"	11673	1167.2	3993.301	4543.416	-82.509	703
"326"	16181	1618	4446.447	3650.429	-81.52	704
"327"	11678	1167.7	3978.365	4550.549	-97.676	705
"328"	11683	1168.2	3981.557	4562.293	-90.526	706
"329"	11697	1169.6	3959.632	4593.043	-90.098	707
"330"	11694	1169.3	2025.445	8142.388	-179.441	708
"331"	11710	1170.9	3943.615	4627.898	-83.234	709
"332"	12006	1200.5	-2262.169	1538.561	-24.178	710
"333"	11716	1171.5	1990.017	8152.119	-175.799	711
"334"	17742	1774.1	-175.956	2331.368	-39.721	712
"335"	11746	1174.5	1916.979	8181.192	-178.271	713
"336"	11751	1175	3912.039	4724.498	-87.448	714
"337"	11761	1176	3891.751	4738.565	-94.07	715
"338"	11766	1176.5	3883.885	4751.896	-94.408	716
"339"	11774	1177.3	1834.464	8198.111	-178.653	717
"340"	11831	1183	1757.082	8179.129	-178.316	718
"341"	11792	1179.1	3847.839	4800.183	-94.754	719
"342"	11803	1180.2	3826.86	4829.961	-107.76	720
"343"	11827	1182.6	3813.795	4870.296	-97.05	721
"344"	11833	1183.2	3799.294	4883.373	-109.626	722
"345"	11843	1184.2	3795.911	4911.322	-97.504	723
"346"	11855	1185.4	1730.74	8232.621	-180.139	724
"347"	11860	1185.9	3764.376	4947.935	-97.732	725
"348"	11865	1186.4	3761.903	4959.613	-98.003	726
"349"	11875	1187.4	3751.666	4986.066	-97.709	727
"350"	11894	1189.3	3738.306	5047.791	-94.157	728
"351"	11911	1191	3709.415	5074.33	-100.014	729
"352"	11974	1197.3	1447.668	8286.673	-179.86	730
"353"	11922	1192.1	3707.002	5110.648	-94.496	731
"354"	11945	1194.4	3661.849	5139.876	-111.705	732
"355"	11950	1194.9	3670.334	5151.951	-101.724	733
"356"	11963	1196.2	3669.074	5182.001	-101.916	734
"357"	11975	1197.4	3642.43	5214.298	-107.352	735
"358"	11992	1199.1	3625.679	5246.213	-103.279	736
"359"	12030	1202.9	1312.759	8283.34	-180.594	737
"360"	12001	1200	3621.555	5268.203	-103.983	738
