"frame_number"	"time_in_deciseconds"	"X"	"Y"	"Z"	"ID"	"distance"
"269"	6089	608.8	2218.307	2114.135	-45.421	331	NA
"270"	5942	594.1	-2661.135	428.619	1.719	332	NA
"271"	5981	598	-2653.174	318.969	13.737	333	NA
"272"	6007	600.6	-2663.818	250.982	16.506	334	NA
"273"	6017	601.6	1854.759	2113.921	-36.162	335	NA
"274"	6020	601.9	-2661.77	221.501	15.834	336	NA
"275"	6076	607.5	-2666.613	64.466	18.289	337	NA
"276"	34391	3439	-2357.182	-1187.792	30.772	338	NA
"277"	7978	797.7	2197.433	2105.018	-32.926	339	NA
"278"	6105	610.4	-2657.459	-20.426	19.577	340	NA
"279"	22163	2216.2	2222.777	2147.129	-47.58	341	NA
"280"	6136	613.5	-2655.363	-112.849	21.048	342	NA
"281"	6154	615.3	-2647.555	-155.491	22.586	343	NA
"282"	6190	618.9	-2651.63	-260.52	25.476	344	NA
"283"	6234	623.3	-2621.829	-348.492	12.859	345	NA
"284"	6251	625	-2609.57	-381.163	20.588	346	NA
"285"	6272	627.1	-2592.826	-446.71	26.636	347	NA
"286"	6337	633.6	-2572.579	-629.547	31.261	348	NA
"287"	7376	737.5	3269.902	1926.245	-44.197	349	NA
"288"	6404	640.3	-2526.11	-783.973	25.089	350	NA
"289"	6409	640.8	-2519.265	-800.808	33.718	351	NA
"290"	6447	644.6	-2478.835	-911.728	33.68	352	NA
"291"	6463	646.2	-2474.489	-959.685	35.082	353	NA
"292"	6562	656.1	-2352.212	-1229.112	32.329	354	NA
"293"	27997	2799.6	374.507	-1593.329	37.316	355	NA
"294"	6573	657.2	-2350.302	-1254.363	36.719	356	NA
"295"	6594	659.3	2451.248	2070.637	-43.671	357	NA
"296"	6625	662.4	-2265.743	-1376.117	37.981	358	NA
"297"	6658	665.7	2342.82	2080.964	-40.611	359	NA
"298"	33268	3326.7	2695.14	2055.627	-54.147	360	NA
"299"	6666	666.5	-2185.923	-1476.966	39.58	361	NA
"300"	6702	670.1	-2115.899	-1530.541	38.412	362	NA
"301"	22935	2293.4	2193.308	2089.413	-44.702	363	NA
"302"	6737	673.6	-2065.215	-1613.531	39.142	364	NA
"303"	6755	675.4	-2028.331	-1629.926	39.54	365	NA
"304"	6778	677.7	2211.047	2081.881	-35.752	366	NA
"305"	6793	679.2	-1948.947	-1687.843	40.294	367	NA
"306"	17269	1726.8	2562.785	2042.04	-37.092	368	NA
"307"	6801	680	-1937.037	-1703.864	40.826	369	NA
"308"	6968	696.7	1884.771	2070.146	-34.42	370	NA
"309"	6853	685.2	-1833.062	-1777.786	42.638	371	NA
"310"	6877	687.6	-1785.58	-1809.294	41.639	372	NA
"311"	6925	692.4	-1676.366	-1874.704	43.174	373	NA
"312"	7408	740.7	-463.509	-2061.703	48.694	374	NA
"313"	16788	1678.7	2519.976	2050.003	-41.527	375	NA
"314"	6981	698	1822.863	2058.922	-39.263	376	NA
"315"	7072	707.1	2450.924	2071.631	-44.061	377	NA
"316"	11135	1113.4	-691.742	2133.177	-31.633	378	NA
