"frame_number"	"time_in_deciseconds"	"X"	"Y"	"Z"	"ID"
"260"	9848	984.7	2073.805	2000.274	-19.697	636
"261"	9873	987.2	2072.503	2010.102	-33.027	637
"262"	9936	993.5	5039.356	694.306	111.379	638
"263"	9949	994.8	2078.462	2015.867	-39.413	639
"264"	9959	995.8	2061.756	2004.916	-40.035	640
"265"	10163	1016.2	1785.179	1993.791	-34.843	641
"266"	10178	1017.7	2995.86	1279.72	-29.778	642
"267"	10182	1018.1	1758.837	2013.556	-28.719	643
"268"	10186	1018.5	3019.696	1276.83	-16.651	644
"269"	10284	1028.3	3261.477	1390.437	-30.67	645
"270"	10312	1031.1	3242.049	6509.317	-126.483	646
"271"	10388	1038.7	3493.781	1519.728	-28.197	647
"272"	10405	1040.4	3531.711	1527.056	-32.064	648
"273"	10593	1059.2	2955.075	7099.196	-160.56	650
"274"	10661	1066	2493.041	1977.655	-43.375	651
"275"	10752	1075.1	2976.708	7084.035	-141.602	652
"276"	10770	1076.9	2999.388	7075.681	-146.716	653
"277"	10780	1077.9	3001.074	7070.177	-148.463	654
"278"	10793	1079.2	3010.103	7054.953	-142.41	655
"279"	10833	1083.2	2490.654	1979.317	-44.37	656
"280"	10877	1087.6	2475.38	1967.937	-36.655	657
"281"	10940	1093.9	4452.85	2690.988	-56	658
"282"	11031	1103	3000.074	7073.769	-158.509	659
"283"	11061	1106	-1977.982	-1681.971	39.915	660
"284"	11067	1106.6	2950.122	7062.516	-151.131	661
"285"	11131	1113	2897.393	7118.804	-151.42	662
"286"	11256	1125.5	2824.556	7330.698	-159.36	663
"287"	11291	1129	4468.743	3612.322	-69.645	664
"288"	11319	1131.8	-768.283	2135.593	-37.446	665
"289"	11320	1131.9	2745.001	7401.707	-161.408	666
"290"	11336	1133.5	2727.684	7448.839	-166.37	667
"291"	11350	1134.9	4400.834	3757.37	-77.926	668
"292"	11358	1135.7	-876.414	2137.432	-39.188	669
"293"	11366	1136.5	4392.094	3798.082	-73.312	670
"294"	11386	1138.5	4367.977	3858.368	-74.066	671
"295"	11400	1139.9	2602.798	7605.131	-170.292	672
"296"	11405	1140.4	4350.77	3907.272	-76.402	673
"297"	11425	1142.4	4325.791	3956.73	-76.936	674
"298"	11437	1143.6	-400.114	-1962.698	39.243	675
"299"	11438	1143.7	4310.28	3991.585	-77.683	676
"300"	11448	1144.7	4300.287	4015.505	-79.254	677
"301"	11456	1145.5	4291.784	4037.752	-78.592	678
"302"	11458	1145.7	2500.43	7723.181	-167.005	679
"303"	11465	1146.4	4276.888	4049.16	-79.698	680
"304"	11470	1146.9	-1157.505	2104.65	-38.388	681
"305"	11472	1147.1	2479.364	7752.409	-172.009	682
"306"	11496	1149.5	-1219.509	2084.096	-30.889	684
"307"	11501	1150	4229.543	4112.432	-80.379	685
"308"	11519	1151.8	4199.929	4158.817	-83.136	686
"309"	11521	1152	2385.19	7834.474	-173.075	687
"310"	11531	1153	2362.868	7857.327	-173.201	688
"311"	11541	1154	4174.622	4220.304	-82.12	689
"312"	11549	1154.8	4163.79	4241.88	-83.292	690
"313"	11561	1156	2301.979	7915.233	-176.38	691
"314"	11567	1156.6	4144.77	4291.064	-83.998	692
"315"	11571	1157	2272.487	7928.93	-175.459	693
"316"	11580	1157.9	4122.296	4324.124	-85.299	694
"317"	11593	1159.2	-1435.019	2027.581	-36.631	695
"318"	11610	1160.9	2180.793	8004.676	-176.858	696
"319"	11613	1161.2	4083.118	4404.095	-83.803	697
"320"	11632	1163.1	2122.419	8040.629	-177.063	698
"321"	11651	1165	4037.784	4489.743	-88.54	699
"322"	11656	1165.5	4028.706	4497.605	-88.753	700
"323"	11663	1166.2	4014.29	4513.871	-88.999	701
"324"	11668	1166.7	2069.93	8086.495	-177.985	702
"325"	11671	1167	3995.971	4531.97	-88.403	703
"326"	11672	1167.1	-32.245	-1840.297	34.224	704
"327"	11676	1167.5	3985.392	4547.288	-90.934	705
