"frame_number"	"time_in_deciseconds"	"X"	"Y"	"Z"	"ID"	"distance"
"382"	5358	535.7	4129.227	1987.386	70.722	559	NA
"383"	5386	538.5	-768.774	-2040.943	42.22	563	NA
"384"	5867	586.6	-3465.377	7091.112	-135.879	564	NA
"385"	5431	543	-719.148	-2023.641	48.08	572	NA
"386"	5462	546.1	-671.292	-2027.06	46.835	611	NA
"387"	5476	547.5	1122.245	-481.714	-96.705	637	NA
"388"	5500	549.9	-626.929	-2031.173	42.122	638	NA
"389"	5490	548.9	1128.412	-489.411	-114.478	639	NA
"390"	5490	548.9	1055.456	-537.805	9.8	640	NA
"391"	5492	549.1	1048.093	-551.594	38.107	641	NA
"392"	11303	1130.2	1099.887	-471.744	7.238	648	NA
"393"	5522	552.1	-595.33	-2032.133	35.022	666	NA
"394"	5551	555	-565.167	-2024.181	32.098	686	NA
"395"	5574	557.3	-515.713	-2007.127	58.591	702	NA
"396"	5581	558	-506.903	-2004.798	63.517	703	NA
"397"	5619	561.8	-480.824	-2024.295	57.952	706	NA
"398"	5785	578.4	-251.441	-2016.083	41.867	711	NA
"399"	5648	564.7	-3271.288	7427.838	-154.873	712	NA
"400"	5691	569	-3294.127	7411.087	-154.262	713	NA
"401"	5730	572.9	-3302.841	7393.32	-156.968	716	NA
"402"	6047	604.6	-171.426	-1984.78	45.444	732	NA
"403"	5844	584.3	-3089.155	7647.081	-163.983	734	NA
"404"	5866	586.5	-3125.942	7610.644	-161.836	735	NA
"405"	5875	587.4	-3499.681	6953.179	-27.927	736	NA
"406"	6035	603.4	-3326.109	7329.09	-157.265	737	NA
"407"	5897	589.6	-3424.494	7131.082	-151.754	738	NA
"408"	6191	619	-27.804	-1909.433	36.026	740	NA
"409"	6071	607	-3363.327	7271.517	-153.991	741	NA
"410"	6079	607.8	-3367.363	7245.791	-155.688	742	NA
"411"	6105	610.4	-3388.711	7215.311	-152.882	743	NA
"412"	6144	614.3	-3420.957	7163.463	-153.996	744	NA
"413"	6253	625.2	-23.112	-1892.239	34.754	745	NA
"414"	6269	626.8	-4.906	-1916.188	54.245	746	NA
"415"	6383	638.2	-43.82	-1844.615	35.213	747	NA
"416"	9148	914.7	3198.663	1340.523	-25.551	748	NA
"417"	6572	657.1	-1057.478	6736.994	-150.99	749	NA
"418"	6660	665.9	1896.987	8199.239	-173.246	751	NA
"419"	7338	733.7	330.384	8222.371	-182.868	752	NA
"420"	7532	753.1	-95.891	8228.024	-181.79	754	NA
"421"	7540	753.9	-92.564	8228.807	-179.692	755	NA
"422"	7597	759.6	4091.864	2055.618	-48.933	756	NA
"423"	7648	764.7	4134.893	2109.393	-50.217	757	NA
"424"	7679	767.8	4167.246	2154.234	-49.676	758	NA
"425"	7725	772.4	-458.067	8228.155	-181.017	759	NA
"426"	7727	772.6	4219.496	2228.007	-52.545	760	NA
"427"	7762	776.1	4246.222	2277.421	-53.428	761	NA
"428"	7809	780.8	4278.923	2352.513	-54.588	762	NA
"429"	7877	787.6	-597.068	8265.117	-175.95	763	NA
"430"	7843	784.2	4314.552	2404.183	-54.909	764	NA
"431"	7894	789.3	4355.774	2494.54	-56.949	765	NA
"432"	7934	793.3	4396.61	2567.939	-57.063	766	NA
"433"	7954	795.3	4403.535	2596.956	-57.552	767	NA
"434"	8038	803.7	4439.542	2729.298	-60.897	768	NA
"435"	8470	846.9	-773.191	8231.521	-177.515	769	NA
"436"	8675	867.4	4459.003	3618.38	-74.733	770	NA
"437"	8356	835.5	3233.197	2001.723	-41.01	771	NA
"438"	8280	827.9	-1056.828	6736.674	-150.923	772	NA
"439"	8610	860.9	3232.75	2001.088	-41.156	773	NA
"440"	8586	858.5	-918.597	8240.88	-169.162	774	NA
"441"	8596	859.5	-937.864	8240.574	-169.287	775	NA
"442"	8614	861.3	-964.289	8253.405	-172.388	776	NA
"443"	8919	891.8	-1473.361	8266.009	-181.488	777	NA
"444"	8723	872.2	3232.936	2001.596	-40.976	778	NA
"445"	8818	881.7	4366.266	3872.82	-80.383	779	NA
"446"	8837	883.6	3232.94	2000.963	-41.821	780	NA
"447"	8823	882.2	4368.164	3881.369	-86.667	781	NA
"448"	9153	915.2	4079.156	4358.271	-87.231	782	NA
"449"	8964	896.3	-1576.504	8278.038	-174.453	783	NA
"450"	9619	961.8	-3094.056	7684.384	-162.63	784	NA
"451"	9291	929	3462.445	1493.553	-26.543	785	NA
"452"	9678	967.7	3736.451	5049.002	-109.755	786	NA
