"frame_number"	"time_in_deciseconds"	"X"	"Y"	"Z"	"ID"	"distance"
"190"	3934	393.3	2381.599	2070.164	10.136	248	0.662
"191"	3942	394.1	2380.868	2069.559	9.526	249	17.699
"192"	3956	395.5	583.748	2079.156	-31.617	250	1.851
"193"	3972	397.1	-437.671	2099.696	-32.091	251	0.875
"194"	4007	400.6	506.979	2070.325	-33.073	252	0.467
"195"	4010	400.9	2365.626	2295.632	119.978	253	24.925
"196"	4055	405.4	-610.405	2098.732	-31.387	255	3.069
"197"	4078	407.7	412.003	2047.394	-31.376	256	4.13
"198"	4084	408.3	-682.607	2109.718	-31.191	257	0.469
"199"	4122	412.1	856.473	2083.481	-32.431	258	0.447
"200"	4128	412.7	306.6	2038.845	-28.745	259	1.65
"201"	4151	415	263.894	2040.972	-30.75	260	0.937
"202"	4159	415.8	-868.937	2142.241	-35.1	261	0.766
"203"	4193	419.2	177.45	2050.652	-31.897	263	3.789
"204"	4196	419.5	-965.3	2137.614	-35.122	264	2.424
"205"	4202	420.1	-975.233	2137.903	-32.803	265	1.502
"206"	4231	423	2331.229	2039.648	-43.753	266	0.137
"207"	4246	424.5	-1071.966	2122.995	-36.108	267	0.97
"208"	4279	427.8	2331.033	2039.645	-43.762	269	0.066
"209"	4291	429	2337.748	2041.075	-40.012	270	6.93
"210"	4320	431.9	-1236.028	2084.32	-34.714	271	1.091
"211"	4337	433.6	3195.207	2128.492	-34.213	272	0.474
"212"	4382	438.1	-1364.904	2048.562	-32.269	273	0.368
"213"	4383	438.2	2320.087	2013.943	-93.137	274	27.876
"214"	4386	438.5	-209.291	2093.517	-32.204	275	0.537
"215"	4407	440.6	-251.91	2092.896	-30.396	276	7.336
"216"	4426	442.5	2331.01	2039.605	-43.855	277	0.105
"217"	4441	444	-311.877	2084.634	-32.081	278	0.198
"218"	4476	447.5	-1477.6	2010.183	-32.608	279	0.84
"219"	4548	454.7	2329.084	2038.712	-46.229	280	0.338
"220"	4549	454.8	-1640.018	1946.375	-30.114	281	3.483
"221"	4576	457.5	-572.855	2112.581	-33.37	282	0.668
"222"	4607	460.6	-1753.306	1880.813	-29.76	283	2.516
"223"	4641	464	-676.306	2125.968	-32.076	284	0.338
